"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","48/3484","78/9564",0.615384615384615,1.68930495451735,4.62702134216781,5.33795499709152e-06,5.13576883784841e-05,2.36999738256916e-05,"CAV1/CAV2/PIK3R1/ARHGEF26/ELMO1/CDH1/CTTN/WASF2/ILK/GAB1/ELMO3/SEPTIN11/CLTC/ITGA5/SHC3/ARHGAP10/CRK/SEPTIN9/CD2AP/VCL/ACTR3/PXN/SHC1/ARPC1A/RHOA/PIK3R3/WASF1/SEPTIN2/ACTR2/HCLS1/ACTG1/ARPC5L/MET/CTNNA1/DNM2/ARPC3/FN1/SEPTIN6/WASL/SEPTIN8/ARPC1B/ARPC2/PIK3CD/ACTB/RHOG/ARPC4/SRC/PIK3R2",48
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","58/3484","99/9564",0.585858585858586,1.60825244407334,4.604956289998,5.46566291174945e-06,5.13576883784841e-05,2.36999738256916e-05,"PIP5K1B/PLPP2/GAB2/PLPP3/PIK3R1/AKT3/WASF3/MARCKSL1/PLA2G4C/PAK1/JMJD7-PLA2G4B/WASF2/PRKCB/HCK/CRK/PIP5K1A/GSN/RPS6KB1/LIMK1/PIP5K1C/PLA2G4A/ACTR3/ARF6/PRKCA/ARPC1A/ASAP3/LOC102723407/PIK3R3/PLA2G4B/LAT/FCGR3B/PLPP1/WASF1/ASAP2/PLCG2/ACTR2/PTPRC/NCF1/ARPC5L/WAS/DNM2/LYN/ARPC3/MAPK3/PRKCD/MARCKS/RPS6KB2/INPP5D/ARPC1B/ARPC2/PIK3CD/LIMK2/ARPC4/MAPK1/FCGR2A/INPPL1/MYO10/PIK3R2",58
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","126/3484","252/9564",0.5,1.37256027554535,4.53690509176545,5.59195460854554e-06,5.13576883784841e-05,2.36999738256916e-05,"GRK5/CAV1/FGFR4/ARAP3/CAV2/PIP5K1B/ARRB1/TGFBR2/SNX1/NEDD4L/SH3GL3/HLA-E/MVB12B/FGFR2/LDLR/EHD2/IQSEC1/RUFY2/EPS15/DAB2/EHD1/WASHC2C/WASHC2A/RAB22A/ARAP2/SH3GLB1/RAB11FIP1/EPN3/SNF8/CLTC/SMURF1/ITCH/ARAP1/CBLC/RAB11FIP2/FOLR1/PRKCZ/STAMBP/PIP5K1A/PARD3/AP2B1/STAM2/ARFGEF1/PIP5K1C/SNX2/AP2A2/RAB5B/EPN2/ARF4/TFRC/CYTH1/ARRB2/ACTR3/LDLRAP1/SPART/ARF6/SNX3/ARF5/ARPC1A/HGS/ASAP3/CHMP3/RNF103-CHMP3/RHOA/PSD3/ZFYVE16/CXCR2/RAB7A/SPG21/PDGFRA/ARFGEF2/ASAP2/EHD4/IQSEC3/ARF1/ARFGAP2/ACTR2/CHMP1B/ARF3/RAB8A/IL2RA/CYTH2/RAB4A/SH3GL1/FGFR3/NEDD4/HSPA1B/HSPA1A/ARPC5L/VPS45/CAPZA1/ZFYVE9/RAB11A/MDM2/DNM2/CAPZB/ARPC3/ARFGAP3/SNX5/RAB5A/VPS4B/TRAF6/EHD3/CYTH4/PML/WASHC5/VPS26A/WASL/HLA-C/ACAP2/ARPC1B/WASHC3/PSD4/SMAD3/CXCR1/RNF41/VPS28/RAB31/ARPC2/RAB11B/FOLR2/EGFR/CAPZA2/ARPC4/KIF5B/SRC",126
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","184/3484","391/9564",0.470588235294118,1.29182143580739,4.45999357720304,7.03225329991565e-06,6.18392923861056e-05,2.85369076612099e-05,"AGER/FZD4/LPL/COX7A1/GAPDH/GNAQ/SLC39A8/PIK3R1/KLC1/CALM1/CALM2/ATP2A2/AKT3/SLC39A4/DKK2/MME/PSMB2/SEM1/PSMB3/CYCS/PSMD14/PLCB4/ITPR1/PSMD11/FADD/EIF2S1/CSNK2A1/PSMA5/PSMD12/NDUFS8/ULK2/SNCA/PSMB5/PSMD4/PSMD3/PPP3CB/SDHC/PPIF/TUBB6/PPP3CC/UQCRH/PSMB4/ATP5PD/NRAS/TUBB/UQCRQ/CDK5/PSMA2/CASP3/LRP1/NOX4/TUBA1A/NDUFAB1/SLC39A7/CYC1/VDAC1/BACE1/FRAT1/NDUFA6/PSMC4/TUBB3/PSMA1/COX5B/NDUFS5/NDUFS6/HSD17B10/APBB1/APC/PSMA6/IDE/PSMD9/PSMD2/SLC39A6/PSENEN/NDUFS1/ATP5MC1/CACNA1D/SDHA/NDUFS2/SLC39A1/COX6A1/SLC39A14/COX5A/ATP5MC3/TUBB2A/TUBB2B/COX6B1/FAS/NDUFB11/KLC2/CSNK2B/RTN4/COX6C/PSMD7/CDK5R1/FZD5/PSMC1/ATP5F1C/ATP5F1E/APH1A/SLC39A9/CASP8/PSMC2/XBP1/WNT2/IL6/PSMD1/COXFA4L2/NDUFB4/PIK3R3/ATF6/ADRM1/NDUFB3/MAPK10/BID/COX7B/PLCB2/NDUFA1/SLC25A4/PSMA3/UQCRC1/WNT3/IRS2/CAPN1/NDUFV2/PSMC5/CSNK1A1/BACE2/CHRM3/BECN1/PSMC6/TUBA4A/PSMA4/NAE1/AXIN1/DKK1/NDUFB5/COX4I1/NDUFC2/PSMD8/MAP2K2/IL1B/IRS1/PSMA7/MAPK3/FZD3/ADAM17/COX7A2L/NDUFA10/DVL2/LRP6/TUBA3D/WNT5B/UQCR10/WNT11/PSMD13/PIK3CD/DVL3/NDUFA9/EIF2AK3/PSEN1/CSNK2A2/WNT5A/NDUFS3/CYBB/KRAS/CSNK1E/TPTEP2-CSNK1E/NFKB1/PPP3R1/NDUFA13/WIPI1/PSMB7/VDAC3/CASP7/MAPK1/SDHB/NDUFA3/KIF5B/WNT7B/TUBA1C/ATG101/PIK3R2/UQCR11",184
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","67/3484","119/9564",0.563025210084034,1.54557207498384,4.53324294055531,7.08759798121554e-06,6.18392923861056e-05,2.85369076612099e-05,"VEGFD/PIK3R1/AKT3/IL18R1/NFKBIA/MMP9/CYLD/FADD/CXCL3/EDN1/CFLAR/MAP3K8/MAPK13/ITCH/TNFRSF1B/CASP3/MMP14/CXCL2/JAG1/CX3CL1/JUN/TRAF3/RPS6KA5/TNFAIP3/SELE/XIAP/FAS/MAP3K14/MAP3K7/CASP8/FOS/MAP2K3/IL6/IRF1/VEGFC/CXCL10/PIK3R3/RHBDF2/MAPK10/VCAM1/DNM1L/MMP3/ATF2/ICAM1/SOCS3/TRAF5/MAPK14/CREB3L2/CREB3L1/TRADD/MAPK11/IL1B/MAPK3/ADAM17/JUNB/CREB1/ATF6B/CREB3/PIK3CD/CEBPB/MAPK12/NFKB1/MAP2K6/CCL5/CASP7/MAPK1/PIK3R2",67
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","29/3484","41/9564",0.707317073170732,1.9416706336983,4.57391852879209,8.10212539289321e-06,6.76129205295519e-05,3.12012572493483e-05,"HBEGF/CDH1/DAPK2/MMP1/DAPK1/MMP9/E2F3/CDK4/NRAS/CDKN2A/ERBB2/RPS6KA5/RASSF1/EGF/VEGFA/FGFR3/E2F1/MAP2K2/MDM2/CDKN1A/MAPK3/TP53/THBS1/KRAS/EGFR/TYMP/MAPK1/SRC/CCND1",29
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","84/3484","157/9564",0.535031847133758,1.4687269190549,4.48258477210472,8.13679845914378e-06,6.76129205295519e-05,3.12012572493483e-05,"CD36/AGER/PECAM1/S1PR1/GAS6/ELMO1/ATP2A2/PTGER4/SLC2A1/RXRA/CD24/NFATC1/CPT1A/ALOX5/SCARF1/SGK1/PROS1/SIRPA/CASP1/PPARG/MAPK13/PBX1/NFATC3/CASP3/CX3CR1/LRP1/CRK/P2RY6/HIF1A/RAB14/JAK2/SIRPB1/VPS39/AXL/ATP8A1/PANX1/CX3CL1/DUSP8/ITGAV/RAB5B/C1QA/CALR/C1QB/ABCA1/ATP8A2/PTPN6/EPOR/DUSP4/DUSP7/PPARD/RAB7A/ARG2/CAMK2G/ATP11A/DNMT3A/LIPA/ARNT/TMEM30B/MAPKAPK2/PTGER2/SLC16A1/PLA2G15/CPT1B/CD47/MAPK14/NR1H2/MAP2K2/XKR8/MAPK11/MAPK3/ADAM17/RAB5A/CREB1/THBS1/STAB1/ITGB5/P2RY2/CEBPB/MAPK12/CASP7/MAPK1/TGFBRAP1/RAB17/VPS41",84
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","108/3484","212/9564",0.509433962264151,1.39845763923488,4.44101459398919,8.9516198806843e-06,7.26538450781121e-05,3.35274869460146e-05,"TEK/VEGFD/FGFR4/ARAP3/DOCK4/ANGPT1/GNAQ/PIK3R1/CALM1/CALM2/RRAS/AKT3/FGFR2/RAPGEF3/FGF2/CDH1/PLCE1/EFNA4/ADCY9/PDGFB/RAPGEF5/PLCB4/FLT1/RAPGEF4/RASGRP2/ITGAL/MAPK13/FGF18/ID1/FLT4/PRKCB/HGF/RAPGEF2/NRAS/ADCY3/GNAI2/FPR1/CRK/PRKCZ/PARD3/TIAM1/TLN1/SIPA1L3/FGFR1/EVL/PDGFRB/EFNA3/FGF7/ADORA2A/ADORA2B/MAGI1/EGF/RAC3/LPAR1/PRKD1/PRKCA/GNAI3/MAGI2/PDGFA/PRKD3/PFN2/MAP2K3/VEGFA/VEGFC/RHOA/PIK3R3/RALB/PLCB2/LAT/CNR1/ENAH/PDGFRA/RGS14/P2RY1/FGF9/EFNA5/FARP2/PGF/FGFR3/GNAS/ACTG1/RALGDS/MAPK14/MET/LPAR2/MAP2K2/KIT/CTNND1/MAPK11/MAPK3/ITGAM/PDGFC/RASGRP3/LCP2/RALA/THBS1/SIPA1L1/KDR/PIK3CD/KRAS/ACTB/EGFR/ADCY7/MAPK12/MAP2K6/MAPK1/SRC/PIK3R2",108
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","46/3484","75/9564",0.613333333333333,1.6836739380023,4.49939161341971,9.48885149779108e-06,7.52638448347519e-05,3.47319205541157e-05,"SESN1/RRM2/CCNB1/IGFBP3/CCNB2/CCND2/CDK1/CYCS/SIAH1/GADD45B/CCNE1/PPM1D/PERP/GTSE1/CCNE2/PMAIP1/CCND3/SFN/CDK4/CHEK1/CDKN2A/CASP3/CHEK2/STEAP3/FAS/CCNG2/CASP8/BID/PTEN/EI24/GADD45A/ATR/CD82/BCL2L1/SERPINB5/MDM2/CDKN1A/TP53/CDK2/THBS1/BAX/DDB2/BCL2/SIVA1/PPP1R13L/CCND1",46
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","53/3484","90/9564",0.588888888888889,1.61657099119786,4.44858623668896,1.11742254509183e-05,8.66623262748994e-05,3.99919647717074e-05,"PIK3R1/AKT3/PRKCQ/NFATC1/NFKBIA/CSNK2A1/PPP3CB/MAPK13/PPP3CC/NRAS/MAP3K3/NFATC3/IFNGR1/HIF1A/JAK2/RPS6KB1/TLR4/CD4/IFNGR2/JUN/BATF/EGF/STAT1/CSNK2B/JAK1/NFKBIE/PTPN6/FOS/MAP2K3/EML4/ZAP70/PIK3R3/LAT/PTEN/MYD88/MAPK14/CD247/MAP2K2/MAPK11/MAPK3/TRAF6/RPS6KB2/PIK3CD/CSNK2A2/KRAS/EGFR/STAT3/MAPK12/NFKB1/MAP2K6/PPP3R1/MAPK1/PIK3R2",53
