"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","84/3484","159/9564",0.528301886792453,1.45025236661395,4.33370682388043,1.53934259210494e-05,0.000116789253183614,5.38946033391433e-05,"CD36/STX12/THBS2/SFTPD/MARCO/HLA-E/COLEC12/MSR1/MRC1/VAMP3/SEC61G/OLR1/SEC22B/ITGA5/TUBB6/COMP/TUBB/NCF2/STX7/SFTPA2/TUBA1A/MRC2/SEC61A1/TLR4/LAMP1/ATP6V1C1/TUBB3/HLA-DRB5/HLA-DRB1/HLA-DRB4/ITGAV/ITGA2/RAB5B/CALR/DYNC2H1/CANX/TFRC/HLA-DRB3/HLA-DPB1/TUBB2A/TUBB2B/HLA-DMA/HGS/HLA-DPA1/HLA-DRA/ATP6V0A1/C3/LOC102723407/SEC61A2/RAB7A/HLA-DQB1/FCGR3B/HLA-DQA1/HLA-DQA2/TUBA4A/CTSS/ATP6V1B2/HLA-DMB/NCF1/ACTG1/CLEC4M/ATP6V0E2/ATP6V1E1/ATP6V1D/ITGAM/RAB5A/SCARB1/STX18/NCF4/TUBA3D/THBS1/HLA-C/ATP6V0D1/CLEC7A/PIKFYVE/ITGB5/SEC61B/CYBB/ACTB/ATP6V1F/DYNC1LI1/TUBA1C/FCGR2A/FCGR2C",84
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","104/3484","205/9564",0.507317073170732,1.39264652348016,4.30178127524785,1.64322810028174e-05,0.000122018427020921,5.63077042201805e-05,"CD36/AGER/AGTR1/COX7A1/GAPDH/TGFBR2/GFPT1/PIK3R1/ATP2A2/AKT3/PDK4/COL1A1/COL3A1/SLC2A1/PARP1/COL1A2/ACE/PLCB4/RYR2/MMP9/TBC1D4/NDUFS8/SDHC/PPIF/MAPK13/UQCRH/ATP5PD/PRKCB/UQCRQ/NCF2/PRKCZ/NDUFAB1/CYC1/VDAC1/NDUFA6/COX5B/NDUFS5/NDUFS6/NDUFS1/ATP5MC1/SDHA/NDUFS2/COX6A1/PPP1CB/COX5A/PLN/ATP5MC3/COX6B1/NDUFB11/PRKCA/COX6C/ATP5F1C/ATP5F1E/GSR/COXFA4L2/NDUFB4/PIK3R3/NDUFB3/MAPK10/CAMK2G/COX7B/PLCB2/NDUFA1/SLC25A4/UQCRC1/GYS1/TNNI3/PTEN/NDUFV2/PPP1CA/MPC2/NCF1/CPT1B/NDUFB5/MAPK14/COX4I1/AGT/PPARA/NDUFC2/MAPK11/IRS1/PDHA1/PRKCD/COX7A2L/MPC1/NDUFA10/G6PD/NCF4/UQCR10/SMAD3/PDK2/PIK3CD/NDUFA9/NDUFS3/CYBB/SP1/MAPK12/NFKB1/NDUFA13/VDAC3/SDHB/NDUFA3/PIK3R2/UQCR11",104
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","64/3484","115/9564",0.556521739130435,1.52771926321569,4.30966293335109,1.87212884364548e-05,0.000136119368006723,6.28148493591575e-05,"ARRB1/KL/GNAQ/MEF2A/HBEGF/AKAP13/STK39/GNA11/ADCY9/RXRA/JUND/PLCB4/ITPR1/SGK1/RXRG/PTH1R/PRKCB/ADCY3/GNAI2/MMP14/NACA/CYP27B1/MMP13/FGFR1/MEF2C/EGR1/ARRB2/PDE4A/VDR/PRKCA/GNAI3/PRKACA/PDE4B/NR4A2/CYP24A1/FOS/NHERF1/RHOA/PLCB2/ATF2/PDE4D/TNFSF11/GNAS/MMP15/WNK1/CREB3L2/CREB3L1/GATA3/CDKN1A/MAPK3/CREB1/LRP6/PTHLH/ATF6B/RXRB/CREB3/GCM1/PRKACB/BCL2/EGFR/SP1/ADCY7/MAPK1/PDE4C",64
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","62/3484","112/9564",0.553571428571429,1.51962030506807,4.18714142441302,3.13370534401605e-05,0.000223196564298286,0.000102998263723836,"LAMC3/IRAK1/AKT3/LDLR/LAMA4/CYCS/ALOX5/NFKBIA/LAMB2/LAMA2/PPIF/MAPK13/GNAI2/CASP3/IFNGR1/JAK2/LAMA3/TLR4/IFNGR2/LAMC1/HLA-DRB5/HLA-DRB1/HLA-DRB4/CIITA/HLA-DRB3/HLA-DPB1/STAT1/XIAP/HLA-DMA/JAK1/GNAI3/HLA-DPA1/IL10RA/HLA-DRA/MAP3K7/CASP8/MAP2K3/LAMB3/MAPK10/HLA-DQB1/ITGA6/LAMB1/HLA-DQA1/HLA-DQA2/HLA-DMB/HSPA1B/HSPA1A/MYD88/MAPK14/BCL2L1/MAPK11/LY96/MAPK3/TRAF6/SOCS1/BCL2/STAT3/MAPK12/NFKB1/MAP2K6/LAMC2/MAPK1",62
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","99/3484","196/9564",0.505102040816326,1.38656599264275,4.1391636865536,3.27032088351357e-05,0.000227896846377684,0.000105167297529138,"AGER/VWF/SELP/PIK3R1/H3-3B/AKT3/H2AZ2/H2BC5/C5AR1/H2AJ/SELPLG/H4C12/H4C11/H2AX/PLCB4/H2BC7/H2AC18/H2AC19/H2BC6/CASP1/ITGAL/PPIF/MAPK13/H2BC9/PRKCB/CLCN4/H2BC12L/H2BC12/LOC102724334/H2AC14/NCF2/H2BC10/FPR1/VDAC1/TLR4/H2BC4/H2AC25/H2AZ1/FPR2/H2BC8/H2AC13/HDAC4/H2AC7/H3C4/PRKCA/HDAC1/H2AC17/H3C12/MAP3K7/TLR7/CAMP/C3/CLCN3/LOC102723407/HDAC2/H2AC8/PIK3R3/AQP9/PLCB2/SLC25A4/CASP4/FCGR3B/H3C10/PLCG2/H3C6/H2AC6/FGB/NCF1/ACTG1/MACROH2A1/MAPK14/H2BC21/HDAC5/MAP2K2/MAPK11/H4C8/MAPK3/ITGAM/H4C2/H3C8/NCF4/HDAC7/H4C14/H4C15/H2AC11/TLR8/H4C3/CLEC7A/MACROH2A2/PIK3CD/CYBB/ACTB/MAPK12/NFKB1/VDAC3/MAPK1/FCGR2A/SRC/PIK3R2",99
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","143/3484","300/9564",0.476666666666667,1.30850746268657,4.10971200963756,3.33029775508937e-05,0.000227896846377684,0.000105167297529138,"TEK/VEGFD/FGFR4/ARRB1/ANGPT1/TGFBR2/CACNA2D2/RRAS/IRAK1/AKT3/FGFR2/FGF2/EFNA4/RASGRF1/PLA2G4C/JUND/PDGFB/RPS6KA2/NFATC1/PAK1/DUSP3/FLT1/JMJD7-PLA2G4B/NTRK2/GADD45B/MECOM/PPP3CB/RASGRP2/DUSP1/MAP3K8/MAPK13/FGF18/PPP3CC/MAP3K9/FLT4/BDNF/NR4A1/PRKCB/HGF/RAPGEF2/NRAS/MKNK2/MAP3K3/NFATC3/CASP3/CRK/MAP3K4/ERBB2/ERBB4/MAP3K6/NF1/FGFR1/MEF2C/DUSP8/JUN/RPS6KA5/PDGFRB/TGFA/SRF/MAP2K5/EFNA3/MAP3K11/FGF7/STMN1/PLA2G4A/TAOK3/EGF/ARRB2/RAC3/CACNA1D/CACNB3/FAS/PRKCA/DUSP10/MAP3K14/PRKACA/IL1R1/MAP3K7/PDGFA/ERBB3/FOS/MAP2K3/DUSP4/VEGFA/DUSP7/VEGFC/MAPK10/PLA2G4B/MKNK1/PAK2/RPS6KA1/PDGFRA/ATF2/MAP4K4/ELK1/MAPKAPK2/FGF9/EFNA5/EREG/GADD45A/IL1RAP/PGF/FGFR3/HSPA1B/HSPA1A/MYD88/MAPK14/MET/ARTN/HSPB1/TRADD/MAP2K2/KIT/MAPKAPK5/MAPK11/NRTN/IL1B/FLT3LG/MAPK3/CACNB2/TRAF6/PDGFC/RASGRP3/TP53/RPS6KA3/MAP3K13/PRKACB/KDR/ELK4/MAP3K12/KRAS/EGFR/TAOK2/MAPK12/NFKB1/MAP2K6/PPP3R1/RASA2/MAX/MAPK7/MAPK1/RELB/LAMTOR3",143
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","73/3484","137/9564",0.532846715328467,1.46272846882935,4.12937297558263,3.74342695666315e-05,0.000251241539976046,0.000115940146633494,"SEPTIN4/SPTAN1/PIK3R1/AKT3/LMNB1/IL3RA/BIRC5/PARP1/CYCS/NFKBIA/ITPR1/GADD45B/FADD/EIF2S1/LMNB2/PMAIP1/CFLAR/TNFSF10/CTSO/NRAS/CASP3/CASP6/TUBA1A/CTSH/PRF1/BAK1/DIABLO/JUN/CTSF/NOL3/PTPN13/CTSW/AIFM1/XIAP/BCL2L11/FAS/LMNA/MAP3K14/MCL1/PARP2/CSF2RB/CASP8/FOS/CTSV/PIK3R3/MAPK10/BID/CAPN1/GADD45A/TUBA4A/CTSS/DFFA/ACTG1/BCL2L1/TRADD/MAP2K2/CTSK/MAPK3/CTSZ/TP53/TUBA3D/BCL2A1/BAX/BCL2/PIK3CD/EIF2AK3/KRAS/ACTB/NFKB1/CASP7/MAPK1/TUBA1C/PIK3R2",73
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","112/3484","227/9564",0.493392070484582,1.35442071243242,4.09084198789608,3.83858997946853e-05,0.000252767528836701,0.00011664434297094,"GNAQ/GNG11/PIK3R1/CALM1/CALM2/HLA-E/AKT3/AKAP13/TSC1/PTGER4/GNA11/ADCY9/NFATC1/CYCS/PLCB4/NFKBIA/E2F3/ITPR1/FADD/CXCL12/PPP3CB/PDIA3/MAPK13/CDK4/PPP3CC/PRKCB/EIF4EBP1/NRAS/ADCY3/GNAI2/IL6R/NFATC3/CDKN2A/CASP3/CRK/RPS6KB1/BAK1/ROCK2/ARHGEF12/CX3CL1/ITGAV/CALR/RHEB/RAC3/PXN/FAS/PRKCA/JAK1/GNAI3/PRKACA/IL1R1/IL10RA/CASP8/IL6/VEGFA/GNB5/RHOA/PIK3R3/CXCR2/BID/PLCB2/PDGFRA/ATF2/ELK1/PTGER2/GNB1/PTK2B/ROCK1/E2F1/GNAS/TRAF5/MAPK14/B2M/CREB3L2/CREB3L1/CCL4/TRADD/MAP2K2/MDM2/MAPK11/IL1B/CDKN1A/MAPK3/CCR1/TP53/IRF3/CREB1/ATF6B/RPS6KB2/HLA-C/CREB3/BAX/PTGER3/PRKACB/PIK3CD/PTGER1/KRAS/EGFR/SP1/ADCY7/STAT3/MAPK12/NFKB1/MAP2K6/PPP3R1/CCL5/TAPBPL/TAPBP/MAPK1/SRC/PIK3R2/CCND1",112
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","68/3484","126/9564",0.53968253968254,1.48149363074736,4.11832099676284,4.00657969817465e-05,0.000258943761974621,0.000119494482226262,"VWF/GNAQ/PIK3R1/AKT3/FYN/COL1A1/MYLK/COL3A1/ADCY9/COL1A2/PLA2G4C/PLCB4/JMJD7-PLA2G4B/ITPR1/PTGIR/RASGRP2/MAPK13/BTK/TBXA2R/ADCY3/GNAI2/GUCY1B1/PRKCZ/GUCY1A1/TLN1/ROCK2/ARHGEF12/PRKG1/TBXAS1/ITGA2/PLA2G4A/PPP1CB/GNAI3/PRKACA/FCER1G/RHOA/PIK3R3/PLA2G4B/PPP1R12A/PLCB2/P2RX1/P2RY1/PLCG2/SNAP23/FGB/PPP1CA/ROCK1/GNAS/ACTG1/MAPK14/PTGS1/MAPK11/LYN/MAPK3/MYL12A/LCP2/MYL12B/PRKACB/PIK3CD/ADAMTS13/ACTB/ADCY7/MAPK12/MAPK1/STIM1/FCGR2A/SRC/PIK3R2",68
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","75/3484","142/9564",0.528169014084507,1.44988761501269,4.08847193829332,4.37148429574603e-05,0.000277390548948248,0.000128007099951989,"PIAS1/NEDD4L/CDC20/HERC1/UBE2H/UBE2C/SIAH1/UBE2S/UBA7/UBE2B/CUL7/ELOC/WWP2/SMURF1/UBE2I/ITCH/CBLC/UBE2K/PRPF19/UBE2A/BRCA1/UBR5/RHOBTB2/TRIM37/UBE2Z/PIAS3/UBE2G1/CUL3/XIAP/FANCL/UBE2D1/HUWE1/UBE2O/SKP2/DDB1/CDC34/UBE4B/CUL4B/UBA6/UBE2Q1/CDC27/ANAPC1/UBE2L3/UBE2W/UBE2N/RNF7/UBB/SOCS3/RHOBTB1/UBE2E3/CUL5/TRIP12/NEDD4/UBE2M/FBXO2/KLHL9/MDM2/ELOB/UBE3B/UBE2D3/TRAF6/UBE2J1/SOCS1/PML/ANAPC5/UBE2G2/UBA2/SKP1/ANAPC15/DDB2/ERCC8/UBE3A/ANAPC2/FZR1/UBE3C",75
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","107/3484","216/9564",0.49537037037037,1.35985138410512,4.04925439834857,4.59491187961284e-05,0.0002863614724973,0.000132146901800896,"CD36/AGER/SELP/PIK3R1/CALM1/CALM2/IRAK1/AKT3/LDLR/HSPA5/RXRA/ERO1A/MMP1/NFATC1/CYCS/PLCB4/NFKBIA/OLR1/HSPD1/MMP9/ITPR1/EIF2S1/CXCL3/CASP1/ABCG1/RXRG/PPP3CB/PPARG/MAPK13/PPP3CC/TNFSF10/HSPA4/NRAS/NCF2/NFATC3/CASP3/CASP6/JAK2/CXCL2/TLR4/ROCK2/HSP90B1/JUN/TRAF3/CYP2B6/ABCA1/SELE/FAS/PRKCA/NLRP3/MAP3K7/CASP8/IRF7/XBP1/FOS/HSP90AB1/MAP2K3/IL6/RHOA/PIK3R3/ATF6/MAPK10/BID/CAMK2G/VCAM1/PLCB2/MMP3/ICAM1/HSP90AA1/NFE2L2/PYCARD/NCF1/HSPA1B/HSPA1A/MYD88/MAPK14/BCL2L1/IKBKE/MAPK11/LY96/IL1B/LYN/MAPK3/TRAF6/TP53/IRF3/HSPA2/NCF4/RXRB/BAX/VLDLR/BCL2/PIK3CD/EIF2AK3/CYBB/KRAS/STAT3/MAPK12/NFKB1/MAP2K6/PPP3R1/CCL5/CYP2J2/CASP7/MAPK1/SRC/PIK3R2",107
"hsa03430","Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","18/3484","23/9564",0.782608695652174,2.14835521389707,4.17376101371314,5.11175046779923e-05,0.000312982616361742,0.00014443173066912,"RPA3/RFC4/POLD2/PMS2/PCNA/RFC5/MSH6/RFC2/MSH2/SSBP1/RFC3/LIG1/RPA2/RPA4/RFC1/EXO1/POLD1/POLD4",18
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","146/3484","311/9564",0.469453376205788,1.28870611080142,3.91813369697953,7.12959021979005e-05,0.00042900465288047,0.000197972287409778,"GPX3/COX7A1/GNAQ/GRIA1/KLC1/POLR2H/PSMB2/SEM1/PSMB3/CYCS/PSMD14/PLCB4/POLR2D/ITPR1/PSMD11/PSMA5/PSMD12/NDUFS8/ULK2/PSMB5/PSMD4/PSMD3/SDHC/PPARG/PPIF/HTT/CLTC/TUBB6/BDNF/UQCRH/PSMB4/ATP5PD/DCTN5/TUBB/UQCRQ/STX1A/PSMA2/CASP3/POLR2J/TUBA1A/NDUFAB1/CYC1/VDAC1/AP2B1/POLR2B/NDUFA6/PSMC4/TUBB3/PSMA1/COX5B/NDUFS5/NDUFS6/ACTR1A/AP2A2/PSMA6/TFAM/PSMD9/PSMD2/POLR2K/NDUFS1/DCTN1/ATP5MC1/SDHA/NDUFS2/COX6A1/COX5A/TGM2/ATP5MC3/TUBB2A/TUBB2B/COX6B1/NDUFB11/KLC2/HDAC1/COX6C/PSMD7/PSMC1/TAF4/ATP5F1C/ATP5F1E/POLR2F/CASP8/PSMC2/IFT57/PSMD1/COXFA4L2/HDAC2/NDUFB4/NRF1/POLR2I/ADRM1/NDUFB3/MAPK10/COX7B/PLCB2/NDUFA1/SLC25A4/PSMA3/UQCRC1/DNAH9/HIP1/GPX2/NDUFV2/PSMC5/BECN1/PSMC6/TUBA4A/PSMA4/NDUFB5/POLR2A/COX4I1/CREB3L2/GPX7/CREB3L1/NDUFC2/PSMD8/PSMA7/COX7A2L/TP53/NDUFA10/CREB1/TUBA3D/DLG4/DNAI2/CREB3/UQCR10/BAX/SOD1/POLR2G/POLR2J2/POLR2J3/PSMD13/NDUFA9/NDUFS3/SP1/NDUFA13/WIPI1/PSMB7/DCTN6/VDAC3/SDHB/NDUFA3/KIF5B/TUBA1C/ATG101/UQCR11",146
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","55/3484","99/9564",0.555555555555556,1.52506697282817,3.97517590394382,7.55861907648171e-05,0.000447111535202054,0.000206328049723765,"PIP5K1B/PLPP2/PLPP3/PIK3R1/AKT3/TSC1/WASF3/PLA2G4C/PDGFB/JMJD7-PLA2G4B/WASF2/PRKCB/EIF4EBP1/NRAS/LYPLA1/HIF1A/PIP5K1A/RPS6KB1/PIP5K1C/JUN/PDGFRB/PLA2G4A/RHEB/EGF/RAC3/SLC44A1/CHPT1/PRKCA/PDGFA/FOS/PIK3R3/DGKG/MAPK10/PLA2G4B/PDGFRA/PLPP1/WASF1/RALGDS/WAS/SLC22A4/MAP2K2/DGKA/DGKH/MAPK3/PDGFC/DGKZ/RPS6KB2/CHKB/PIK3CD/KRAS/EGFR/SP1/SLC22A3/MAPK1/PIK3R2",55
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","42/3484","71/9564",0.591549295774648,1.62387412881422,3.99400654083084,7.73672149706852e-05,0.000450019300412819,0.00020766989281605,"LDHA/PIK3R1/AKT3/FGFR2/PFKP/SLC2A1/SLC16A3/PKM/NTRK3/IDH2/SLC7A5/HK3/NRAS/PDK1/HIF1A/ERBB2/FGFR1/LDHC/PDGFRB/PGAM1/IDH1/PIK3R3/PDGFRA/SLC1A5/PTEN/FGFR3/MET/GLS/MAP2K2/KIT/LDHB/PDHA1/MAPK3/TP53/G6PD/PIK3CD/KRAS/EGFR/HKDC1/MAPK1/PIK3R2/GLS2",42
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","45/3484","78/9564",0.576923076923077,1.58372339486002,3.91829565164101,0.000100772543750971,0.000576551110968669,0.000266060382983581,"PIP5K1B/INPP5A/TPI1/PLCE1/SYNJ2/PLCB4/SACM1L/PIK3C2B/INPP5K/ITPKB/IP6K1/INPP1/INPP5B/FIG4/ITPK1/PIK3C2A/PIP5K1A/ITPKA/PIP5K1C/MTM1/PI4KB/MTMR4/MINPP1/PIP4K2C/SYNJ1/INPP4A/PLCB2/PLCG2/PTEN/OCRL/MTMR3/INPP4B/PPIP5K1/PIP4K2B/MTMR6/MTMR1/PI4KA/MTMR14/INPP5D/ISYNA1/PIKFYVE/PIK3CD/PLCH1/INPP5E/INPPL1",45
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","25/3484","37/9564",0.675675675675676,1.85481118316939,3.94345905667212,0.000114229348052469,0.000639549659108426,0.000295132251074014,"CDH1/RXRA/GADD45B/NCOA4/RXRG/PPARG/TFG/NRAS/TCF7L1/TCF7L2/BAK1/LEF1/CCDC6/GADD45A/TPR/MAP2K2/CDKN1A/MAPK3/TP53/RXRB/BAX/DDB2/KRAS/MAPK1/CCND1",25
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","32/3484","51/9564",0.627450980392157,1.72242858107652,3.91566582348107,0.000115448792331894,0.000639549659108426,0.000295132251074014,"KDELR2/PDIA4/KDELR3/TJP1/ADCY9/ERO1A/SEC61G/TJP2/ADCY3/SEC61A1/ATP6V1C1/KDELR1/KCNQ1/CFTR/PRKCA/PRKACA/ATP6V0A1/SEC61A2/PLCG2/ARF1/ATP6V1B2/GNAS/ACTG1/ATP6V0E2/SLC12A2/ATP6V1E1/ATP6V1D/PRKACB/ATP6V0D1/SEC61B/ACTB/ATP6V1F",32
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","57/3484","105/9564",0.542857142857143,1.49020829916352,3.82328838766299,0.000132927889175245,0.000713720512648625,0.000329359790183199,"RRAS/GABARAPL1/MTX1/MTX2/FOXO3/CCZ1/CCZ1B/MITF/SIAH1/EIF2S1/CSNK2A1/PINK1/CALCOCO2/SMURF1/NRAS/HIF1A/BNIP3/TOMM70/OPTN/MARCHF5/JUN/CITED2/RAB5B/MFN1/TOMM40/CSNK2B/HUWE1/TFEB/TOMM20/TFE3/TAX1BP1/MAPK10/RAB7A/UBB/MAP1LC3C/BECN1/E2F1/TBC1D17/BCL2L1/NBR1/GABARAPL2/MAP1LC3B/RHOT2/RAB5A/TP53/MUL1/RHOT1/SQSTM1/ARIH1/RABGEF1/EIF2AK3/CSNK2A2/BNIP3L/KRAS/SP1/ATG9A/SRC",57
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","57/3484","105/9564",0.542857142857143,1.49020829916352,3.82328838766299,0.000132927889175245,0.000713720512648625,0.000329359790183199,"PIK3R1/CALM1/CALM2/RRAS/AKT3/NFATC1/PAK1/NFKBIA/ITPR1/CYLD/CASP1/PPP3CB/MAPK13/PPP3CC/NRAS/NFATC3/EGR2/ARHGEF12/JUN/PLK3/STAT1/MAP3K14/CLEC4E/EGR3/FCER1G/NLRP3/CASP8/IL6/IRF1/RHOA/PIK3R3/MAPK10/PLCG2/PYCARD/MAPKAPK2/CLEC4M/BCL10/MAPK14/IKBKE/MDM2/MAPK11/IL1B/MAPK3/PRKCD/MALT1/CLEC1B/CLEC7A/PIK3CD/CARD9/KRAS/MAPK12/NFKB1/PPP3R1/MAPK1/RELB/SRC/PIK3R2",57
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","73/3484","142/9564",0.514084507042254,1.41122394527902,3.73710567822613,0.000169722566214079,0.000897472357707784,0.000414155544350146,"CDH5/PECAM1/CAV1/CAV2/KLF2/THBD/GSTM5/PIK3R1/CALM1/CALM2/AKT3/MEF2A/PDGFB/MMP9/EDN1/ARHGEF2/SDC2/DUSP1/NQO1/SDC1/MAPK13/NCF2/PRKCZ/GSTA4/MEF2C/HSP90B1/JUN/ITGAV/MAP2K5/SUMO2/RAC3/SELE/SUMO4/BMPR2/IL1R1/MAP3K7/PDGFA/SUMO1/FOS/HSP90AB1/VEGFA/RHOA/PIK3R3/MAPK10/VCAM1/TXN/ACVR2B/ICAM1/HSP90AA1/PRKAA1/NFE2L2/GSTO1/NCF1/ACTG1/MAPK14/MAPK11/IL1B/TP53/ACVR1/SQSTM1/KDR/BCL2/PIK3CD/BMPR1A/TXN2/ACTB/MAPK12/NFKB1/MAP2K6/MAPK7/SRC/PIK3R2/GSTM2",73
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","76/3484","149/9564",0.51006711409396,1.40019571733485,3.72683160828708,0.000174272801960407,0.00090777922215197,0.00041891184131881,"AGTR1/PIP5K1B/PLPP2/GAB2/PLPP3/PIK3R1/RRAS/AKT3/RAPGEF3/FYN/TSC1/ADCY9/PLA2G4C/PDGFB/MS4A2/PLCB4/JMJD7-PLA2G4B/RAPGEF4/GAB1/SHC3/NRAS/ADCY3/PIP5K1A/PIP5K1C/PTGFR/PDGFRB/PLA2G4A/RHEB/CYTH1/EGF/LPAR1/ARF6/PRKCA/SHC1/FCER1G/FCER1A/PDGFA/LOC102723407/AGPAT4/RHOA/PIK3R3/RALB/DGKG/CXCR2/PLA2G4B/PLCB2/AGPAT5/PDGFRA/PLPP1/AVPR2/PLCG2/ARF1/CYTH2/PTK2B/GNAS/RALGDS/AGT/LPAR2/MAP2K2/KIT/DNM2/DGKA/DGKH/MAPK3/PDGFC/CYTH4/RALA/DGKZ/CXCR1/PIK3CD/LPAR6/KRAS/EGFR/ADCY7/MAPK1/PIK3R2",76
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","34/3484","56/9564",0.607142857142857,1.66668033459078,3.78748946145027,0.000181531231981235,0.000931682352374282,0.000429942391534505,"CYCS/NFKBIA/HSPD1/SAR1B/CXCL3/CASP1/SEC22B/EEF1G/CASP3/CXCL2/BNIP3/NAIP/TLR4/SAR1A/EEF1A2/CLK1/CASP8/C3/IL6/RAB1A/ARF1/PYCARD/HSPA1B/HSPA1A/HSF1/MYD88/CLK4/EEF1A1/IL1B/TLR5/ITGAM/HBS1L/NFKB1/CASP7",34
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","57/3484","106/9564",0.537735849056604,1.47614973030349,3.73148054696737,0.000186547805734995,0.000943553394224828,0.000435420507665205,"ERG/PIK3R1/AKT3/FGFR2/FOXO1/ZEB1/PDGFB/PLAU/NFKBIA/MMP9/E2F3/CCNE1/CCNE2/NRAS/TCF7L1/FOLR1/ERBB2/AR/TCF7L2/FGFR1/HSP90B1/PDGFRB/TGFA/ETV5/SLC19A1/SPINT1/EGF/LEF1/PDGFA/HSP90AB1/PIK3R3/PDGFRA/MMP3/HSP90AA1/PTEN/E2F1/CREB3L2/CREB3L1/MAP2K2/MDM2/CDKN1A/MAPK3/PDGFC/TP53/CDK2/CREB1/CREB3/TMPRSS2/BCL2/PIK3CD/FOLR2/KRAS/EGFR/NFKB1/MAPK1/PIK3R2/CCND1",57
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","28/3484","44/9564",0.636363636363636,1.74689489614863,3.75882162894261,0.000216756358436863,0.00108068527277807,0.000498702599110376,"RFC4/FEN1/PARP1/APEX1/POLD2/TDP1/PCNA/RFC5/RFC2/POLB/POLE2/PNKP/SMUG1/LIG3/OGG1/NEIL3/UNG/RFC3/PARP2/LIG1/RFC1/MPG/POLG2/POLE/POLD1/TDG/MBD4/POLD4",28
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","73/3484","143/9564",0.510489510489511,1.40135524636099,3.66043603872834,0.000224551483431364,0.0011037812354584,0.000509360666641938,"GAB2/TGFBR2/PIK3R1/ATP2A2/AKT3/FYN/FHL2/JUND/NFATC1/NFKBIA/FOSB/MITF/ITPR1/ACP5/CYLD/SIRPA/PPP3CB/PPARG/MAPK13/LILRA2/PPP3CC/BTK/TYROBP/NCF2/IFNGR1/SIRPB1/IFNGR2/JUN/IFNAR2/SPI1/BLNK/STAT1/MAP3K14/JAK1/LILRB2/IL1R1/MAP3K7/FOS/PIK3R3/MAPK10/FCGR3B/LILRB5/PLCG2/SOCS3/LILRB3/LILRA6/LOC102725035/TNFSF11/LILRA1/NCF1/MAPK14/MAPK11/CTSK/IL1B/MAPK3/JUNB/TRAF6/LCP2/CREB1/SOCS1/NCF4/LILRB4/SQSTM1/PIK3CD/MAPK12/NFKB1/MAP2K6/PPP3R1/MAPK1/RELB/FCGR2A/FCGR2C/PIK3R2",73
