"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051279","BP","GO:0051279","regulation of release of sequestered calcium ion into cytosol","42/6139","85/18860",0.494117647058824,1.518009256154,3.32509862047662,0.000902289474632391,0.00591222393408817,0.00359391454158321,"CAPN3/CALM1/CALM2/ATP1A2/GPER1/RYR2/SRI/SNCA/ANK2/HTT/DMD/CASQ2/FKBP1B/P2RY6/APLNR/THY1/CX3CL1/CEMIP/CHD7/PLN/PRKD1/CLIC2/ASPH/CD19/PRKACA/TRPC1/PTPN6/CXCL10/LIME1/PDE4D/GSTO1/PTK2B/CXCL9/LYN/HRC/JPH2/ATG5/BAX/TMEM38B/DRD1/FKBP1A/GSTM2",42
"GO:0010906","BP","GO:0010906","regulation of glucose metabolic process","50/6139","105/18860",0.476190476190476,1.46293409039785,3.30447750106694,0.000909615905213922,0.00593464784867728,0.00360754555989704,"ACACB/LEPR/SORBS1/PDK4/PHKA1/IGFBP3/FOXO1/KAT2B/NR3C1/FOXK2/PMAIP1/FBP1/KAT2A/ZNF692/PDK1/BCKDK/SDHAF3/MTCL2/TCF7L2/DYRK2/SIRT7/EPM2AIP1/ARPP19/PRKACA/SIK1/DDB1/LCMT1/USP7/IRS2/PTPN2/RORA/PPP1CA/C1QTNF1/CLK2/ZMPSTE24/PPARA/MLYCD/IRS1/TP53/IGFBP4/PPP4R3A/RORC/GSK3A/CRY1/RANBP2/PHKG2/PDK2/PRKAG1/NR0B1/OGT",50
"GO:1901992","BP","GO:1901992","positive regulation of mitotic cell cycle phase transition","50/6139","105/18860",0.476190476190476,1.46293409039785,3.30447750106694,0.000909615905213922,0.00593464784867728,0.00360754555989704,"RGCC/RRM2/CDC20/CCNB1/ADAMTS1/CCND2/CDK1/BIRC5/UBE2C/DLGAP5/RDX/CCNE1/CCNE2/DDR2/CCND3/STIL/CDC6/KCNA5/CDK4/CHEK1/PBX1/ESPL1/RAD51C/CDC7/CDC25C/DTL/CDC25A/RRM1/FBXO5/CUL3/ANKRD17/MAD2L1BP/CUL4B/SKA1/TFDP1/ANXA1/WEE1/AIF1/RAB11A/MDM2/KLHL18/ADAM17/VPS4B/EIF4G1/HSPA2/ANAPC5/EGFR/NEUROG1/MAD1L1/CCND1",50
"GO:0031098","BP","GO:0031098","stress-activated protein kinase signaling cascade","30/6139","56/18860",0.535714285714286,1.64580085169758,3.36213406029711,0.000910370693697237,0.00593464784867728,0.00360754555989704,"CRYAB/INAVA/FOXO1/FOXM1/MAPK13/PBK/PPIA/CD2AP/TLR4/TAOK3/SEMA4C/FAS/DUSP10/RIPK2/MAP3K7/MAP2K3/PDCD10/ZMPSTE24/MAPK14/MAP2K2/NBR1/MAPK11/MAPK3/MAP3K13/CARD9/IGBP1/TAOK2/MAP2K6/ARL6IP5/MAPK1",30
"GO:0050819","BP","GO:0050819","negative regulation of coagulation","30/6139","56/18860",0.535714285714286,1.64580085169758,3.36213406029711,0.000910370693697237,0.00593464784867728,0.00360754555989704,"THBD/ANGPT1/CPB2/FAP/SH2B3/SERPING1/PDGFB/PLAU/PROS1/CEACAM1/EDN1/F12/PF4/SERPINE2/PRKG1/TMX1/TFPI/PDGFA/PDGFRA/PLAUR/F11/KLKB1/FGB/C1QTNF1/ADTRP/CD9/PRKCD/THBS1/ANXA5/ANXA2",30
"GO:1902895","BP","GO:1902895","positive regulation of miRNA transcription","30/6139","56/18860",0.535714285714286,1.64580085169758,3.36213406029711,0.000910370693697237,0.00593464784867728,0.00360754555989704,"GATA2/KLF4/SMAD6/FGF2/PDGFB/FOXO3/NR3C1/BMP2/FOXA1/GNL3/PPARG/SREBF2/HIF1A/AR/JUN/SRF/EGR1/SPI1/SMARCA4/FOS/IL6/AGT/NR1H2/GATA3/TP53/MRTFB/SMAD3/BMPR1A/EGFR/STAT3",30
"GO:0016239","BP","GO:0016239","positive regulation of macroautophagy","48/6139","100/18860",0.48,1.47463756312103,3.30592661753022,0.000917303924709047,0.00595027207961796,0.00361704319588051,"SESN1/ADRB2/HSPB8/EIF2AK1/VPS13D/DCN/CSNK2A1/PINK1/CALCOCO2/SH3GLB1/HTT/CHEK2/HIF1A/EPM2A/BNIP3/VDAC1/OPTN/UBE2A/LARP1/SPTLC2/FBXO7/MOAP1/PIM2/CDK5RAP3/KAT5/RIPK2/FYCO1/GNAI3/HUWE1/UVRAG/MAP3K7/PIP4K2C/RALB/SLC25A4/USP33/BECN1/DELE1/PIP4K2B/RAB3GAP1/GBA1/TRIM13/MAPK3/RAB3GAP2/MUL1/KDR/SUPT5H/BNIP3L/WIPI1",48
"GO:0031333","BP","GO:0031333","negative regulation of protein-containing complex assembly","66/6139","146/18860",0.452054794520548,1.388785376227,3.27605026781822,0.00091802526726885,0.00595027207961796,0.00361704319588051,"CDH5/SLIT2/SPTBN1/CRYAB/KANK3/KANK2/SPTAN1/LMOD1/CLU/JAM3/PTGER4/CRBN/HSPA5/KIF14/ADD1/CARD8/WASHC2C/TMOD1/RDX/THRA/SNCA/KANK1/SPTBN2/PARK7/PRKCZ/TRIOBP/TWF1/CYRIB/GSN/ARFGEF1/STXBP1/CTNNBIP1/FKBP4/STMN1/NOP53/SSH3/JMJD6/SOX9/LCMT1/TMSB4X/CARMIL1/SPTB/ADD3/CSNK1A1/ABHD17A/DYRK1A/HSF1/DKK1/CAPZA1/ARHGEF7/TRIM31/GBA1/BCL11A/MAPRE1/CAPZB/RIOK3/HIP1R/PRKCD/DMTN/SSH1/MKKS/SORL1/EML2/CAPZA2/OGT/SRC",66
"GO:0010883","BP","GO:0010883","regulation of lipid storage","27/6139","49/18860",0.551020408163265,1.69282373317465,3.37335754815337,0.000918101144116813,0.00595027207961796,0.00361704319588051,"CD36/ACACB/LPL/CES1/MSR1/EHD1/NFKBIA/ABCG1/ABHD5/PPARG/MEST/FTO/SREBF2/CLSTN3/HILPDA/ITGAV/ABCA1/PLIN3/C3/IL6/PPARD/PTPN2/NR1H2/IKBKE/PPARA/SCARB1/NFKB1",27
"GO:0060443","BP","GO:0060443","mammary gland morphogenesis","27/6139","49/18860",0.551020408163265,1.69282373317465,3.37335754815337,0.000918101144116813,0.00595027207961796,0.00361704319588051,"CAV1/TBX2/TBX3/SOSTDC1/TGFBR2/FGFR2/KDM5B/PTCH1/NR3C1/DDR1/TFAP2C/ELF3/PERP/SCRIB/CDKN2A/AR/ETV5/VDR/MSX2/CAPN1/STAT6/PML/IGFBP5/BAX/WNT5A/NFKB1/SRC",27
"GO:0060711","BP","GO:0060711","labyrinthine layer development","27/6139","49/18860",0.551020408163265,1.69282373317465,3.37335754815337,0.000918101144116813,0.00595027207961796,0.00361704319588051,"ST14/PCDH12/FGFR2/NCOA1/HEY1/TMED2/VASH1/SPINT2/HEY2/GRHL2/BMP5/OVOL2/EGLN1/SPINT1/FZD5/LEF1/CASP8/WNT2/CCN1/SOCS3/SENP2/NSDHL/JUNB/GCM1/ZFP36L1/MAPK1/WNT7B",27
"GO:0019080","BP","GO:0019080","viral gene expression","46/6139","95/18860",0.484210526315789,1.48757298034139,3.30959361002314,0.000919307226620202,0.00595027207961796,0.00361704319588051,"MCTS1/OAZ1/EIF3B/FUT8/ZFP36/MID2/TRIM27/ST6GALNAC2/DENR/MGAT2/ATG12/CSDE1/PCBP2/SPCS3/CANX/HEXIM1/MOGS/PTBP1/GALNT1/TARBP2/SPCS1/DHX9/OAZ3/MGAT1/PRMT1/CSNK1A1/MGAT4B/TRIM21/SHFL/TRIM31/UBP1/SSB/TRIM13/OAZ2/TRIM14/SP100/GSK3A/ST3GAL2/ATG5/ATP7B/TMPRSS2/TRIM8/ST6GALNAC4/CCNT2/ACE2/ST3GAL1",46
"GO:0071347","BP","GO:0071347","cellular response to interleukin-1","46/6139","95/18860",0.484210526315789,1.48757298034139,3.30959361002314,0.000919307226620202,0.00595027207961796,0.00361704319588051,"KLF2/HYAL1/IRAK1/HYAL2/MIR21/NFKBIA/SIRPA/CASP1/EDN1/MAPK13/IRAK3/NEK7/YY1/HIF1A/PTGIS/AKAP12/RPS6KA5/EGR1/ANKRD1/VRK2/SOX9/IL1R1/NLRP3/KMO/MAP3K7/CAMP/TAX1BP1/IL6/LCN2/PYCARD/ZNF675/FGB/RORA/IL1RAP/MYD88/CD47/INHBB/RBMX/MAPK11/IL1B/MAPK3/TRAF6/OTUD4/IL1RL2/CEBPB/CCL5",46
